jogger,400536,https://vuoriclothing.com/products/womens-performance-jogger-spring-heather?queryId=db8be1c64cbe651daa588d9f01a03477,Vuori,$94,"Pale Grey Heather, Midnight Heather, Spring Heather",With a cropped and/or tight top to offset the loose bottoms,Not for Jogging,"While someone named these ""joggers"" once upon a time, we know you are not running in these unless its after a dog or a kid (and let's be honest you won't break a real sweat doing that). These are the oh feel so good loose yet fitted pants you will want after every workout once the need for compression has passed. Has the benefit of drapping just perfectly off well-rounded glutes, giiving you the right amout of attention. ","Post-compression it is good to let your legs breathe a bit without the tight confines of leggings. These pants are the perfect signal to the brain that you're ready for the next phase of recovery. The super soft fabric feels just right - clearly we are not going to the office, but we are also not going to bed yet. Paired with a fitted tank these can go the off-duty distance on errands, long walks our lounging on the couch. ","400532, free people tank","Loose upper, somewhat tight calf cuff","Calves, glutes",,,,"89% Recycled Polyester, 11% Elastane",get from website ,get from website ,"Step 2, Step 3",
legging compression - light,400537,https://beyondyoga.com/products/spacedye-caught-in-the-midi-high-waisted-legging-blue-gem-heather-sd3243,Beyond Yoga ,$88,"black, blue gem, Flower Blue Heather","With a loose Cropped Tee, Fitted Tank; if chilly, add the Cropped Corset Fleece Jacket",Light Compression Leggings - ExtremeSoft,"These leggings are extremely soft with just the right about of compression. The high waist makes them less ""gym"" and more ""every day"" non-workout. ","Compression is well known as beneficial for legs after long or hard workouts as it returns blood flow through the body. These compression leggings are a level 1 - light compression, for when you just need a little bit of tightness on the legs post-workout.  Supersoft, buttery fabric means you aren't working out in these but instead relaxing. ","400534, 400535","Tight throughout legs, high waisted","Glutes, quads, hammies, calves",,high,,"87% Polyester, 13% Elastane",get from website ,get from website ,,"400545, (blue - 400556)"
legging compression - light,400556,https://www.quince.com/women/ultra-form-high-rise-legging-28?color=sea-spray-green&gender=women&tracker=pair_with_section__0,Quince,$38,"Sea Spray Green, Deep Navy, Black",Match it with the High Crop halter tank and a cartigan,Light Compression Leggings,"These leggings are extremely soft with just the right about of compression. The high waist makes them less ""gym"" and more ""every day"" non-workout. ","Compression is well known as beneficial for legs after long or hard workouts as it returns blood flow through the body. These compression leggings are a level 1 - light compression, for when you just need a little bit of tightness on the legs post-workout.  Supersoft, buttery fabric means you aren't working out in these but instead relaxing. ","400551, 400550","Tight throughout legs, high waisted","Glutes, quads, hammies, calves",,medium,,"78% Nylon, 22% Spandex",get from website ,get from website ,,400550
puffer boots ,400548,https://www.outdoorresearch.com/products/womens-tundra-trax-booties-300563?variant=49052459499841,Outdoor Research,$99,Purple,Anytime,Puffer Booties,"These amazing boots feel so good you'll crave them every day. Gold technologies and a rugged rubber sole to create the ultimate cold weather footwear, perfect for cabins, camping, and après ski.",Boots so cozy there is no way you're doing anything but recovering; soles so tough you can wear them out and about. ,"400533, 400543, 400535",,,,Low,,"bluesign® approved Pertex® Quantum Eco 100% Polyester (53% Recycled) 30D Double Rip Stop Shell Upper
100% Tricot Lining
100% Polyester Primaloft® Gold Insulation With Cross Core Technology 200 G/M²
EVA Foam and Memory Foam Insole",get from website ,get from website ,,
"sweatshirt, not cropped",400542,https://www.nordstrom.com/s/vuori-restore-half-zip-hoodie/7528947?origin=bag,Vuori,$118,Gray,"Over a tank, tee and with leggings",Recovery Sweatshirt,"So cozy and thick, you'll be glad you did! Warm for the cool days, and great to wear over a tank or tee","Perfect for removing the chill post workout, and so thick and luxurious you for sure are not working out in it. ",,,,,medium ,,"66% organic cotton, 34% polyester",get from website ,get from website ,,
Rump wrap,400558,"does not exist, create",TH8TA,$48,,To keep your car seat protected after your workout. Comes in winter weight to also hold in warmth after those chilly workouts and summer weight when its all about the sweat. ,,,,-,,,,,,,get from website ,get from website ,Step 1.,
"tight shorts 4""",400533,https://vuoriclothing.com/products/womens-vuori-allthefeels-short-4-magenta?queryId=c50cdc70273654a38da807e48dcb85f4,Vuori,$64,"Black, Magenta","Solo with a tank, sweatshirt or tee - these shorts go with everything. They even work for bed!",Every Day Short,"These breathable, lightweight shorts support without gym-tightness. Supremely soft and innovative fabric gives you performance stretch knit that moves with you. So soft you may even want to sleep in them. ","These shorts provide just the right amount of compression to the upper thigh and lower core, supporting you just a little after a long workout. Their super soft feel let's your brain relax and know that work time is over, but if you had to chase a dog or a kid in these, they'd go the miles. ","400532, 400535","Tight, stretch. ","Quads, calves ",get from vuori,medium ,,"75% Recycled Polyamide, 25% Elastane",get from website ,get from website ,"Step 3, Step 4. ",400550
Washable puffer,400546,https://www.kuhl.com/kuhl/womens/outerwear/ws-firestorm-down-hoody/?color=Neptune&utm_source=google_shopping&utm_medium=cpc&utm_campaign=shop_womens_jackets_all_nb&utm_id=20796047967-155825522613&utm_term=&utm_content=682128821737&gad_source=1&gad_campaignid=20796047967&gbraid=0AAAAADueK76X3YzwOoGt7yTgcu9Kbi_ck&gclid=CjwKCAiA_orJBhBNEiwABkdmjMUiv2Pz4fb63EcuFnTVyS1Kqr2CRa9_Ygl00EdvGboLR0-PhuvKfRoCA_8QAvD_BwE,Kuhl (make believe),$395,Powder Blue,Over your workout clothes or for after,Warm Down Puffer,"This washable puffer is meant for warmth right after you finish your workout. Since you should still be generating heat (but want to prevent yourself from losing it), this puffer is medium weight and packable so you can always bring it with you.  Despite the name, there is no down in there so it is easily washable and can handle your sweat! ","After your chilly workouts the post-workout chill really can set in, and set in fast. Once your core temperature has dropped it is hard to get it back up. Throw on this puffer immediately, before you cool down, to keep that temperature regulated. Recovery starts before your workout ends, so keeping yourself warm throughout only hastens the process. All your calories and efforts go to recovery and not to teeth chattering or warming up a chilled body.",,"Medium density, loose fit, long to cover more",nothing,,,,,get from website ,get from website ,,
Bring it just in case jacket,400547,https://www.rei.com/product/144128/patagonia-houdini-jacket-womens?color=BRISK%2520PURPLE,Patagonia,$108,Salmon,"If you need it, or after a light session and you need to cut the chill a bit. ",Just in Case Jacket,"This is the jacket that is late enough and sin enough but also warm enough that you want to bring with you on any work out that is not summer or a warm climate. You never know when you might enjoy yourself or need to walk, and then anything but a summer climb at the body temperature could plummet rapidly. Doing everything you can to keep record temperature high we're walking back to your car can be the difference of extreme discomfort or already starting recovery. Lightweight, packable, and he trapping.","If recovery has to start on the trail, or perhaps before the work out is over for one reason or another, this is the jacket you want with you. Specifically designed to be lightweight, it traps body heat when you need it most. Best to not work out in it, but save it for immediately after or maybe for the last few miles. One of the only hybrid workout/recovery items we sell.",,,,,Medium,,,get from website ,get from website ,,
boxer sweatpants,400549,https://www.nordstrom.com/s/restore-classis-sweatpants/8466165?origin=bag,Vuroi,$118,"Light gray, black","with a cropped top and if needing more, a cropped outer layer",Full Sweatpants,"Full length, thick sweatpants in great fabric. ","For the days after a long, cold session and you really need to feel warm and cozy, these sweatpants leave no doubt that your body is in recovery and on its way to cozy warmth. ","400532, 400545",Taylored but not tight,-,,Medium,,,get from website ,get from website ,,
Cartigan cashemere,400551,https://www.quince.com/women/mongolian-cashmere-fisherman-quarter-zip-sweater?color=heather-cloud-beige&gender=women&tracker=collection_page__%2Fwomen%2Fsweaters-%26-jackets__All+Products__21,Quince,$118,Heather Cloud Beige,With your leggings or shorts for added warmth; cozy over a tank,Relax Cashmere Cartigan,This cartigan is oh-so amazing in cashmere with a classy look and front zip. Pairs with anything from your jeans to leggings or even shorts.,"Nothing says recovery like cashmere. For when the post-workout chill sets in a bit, you can reach for this number to keep you cozy. ",,Loose,,,None,,100% Grade-A Mongolian cashmere,get from website ,get from website ,,
Cartigan button up cashmere,400559,https://www.quince.com/women/brushed-cashmere-cropped-crewneck-cardigan?color=faded-denim&gender=women&tracker=collection_page__%2Fwomen%2Fsweaters-%26-jackets__All%20Products__79,Quince,$130,Faded Denim,With your favorite matched set leggings and tank or bra top,Buttoned Up Cartigan,"This button up sweater is perfect for throwing over your athlethic fit clothes such as our leggings and tank, but reminds you that you are done with the endurance work for the day! So soft a classy, you'll wear it all the time. ","No one works out in cashmere, so enough said. ",,,,,None,,100% cashmere,get from website ,get from website ,,400537 (flower powder blue); 400532 (white) 
Cartigan relaxed,400552,https://www.nordstrom.com/s/zella-cozy-knit-zip-up-cardigan/7921515,Zella,$88,Gray Mist,"Over your gym clothes when you're done, or over your leggings and tank combo",,"Cozy and cute, but with fabric just right to hit the wash as often as you need it. ","As soon as your workout is over, especially after a good functional strength session, you need something warm and light to throw on. This cartigan is meant for post-workout wear, and is cute enough you might also get a second one for after the shower recovery too. ","400532, 400550, 400537, 400556, 400533",,,,,,,get from website ,get from website ,"Step 1, Step 2, Step 3",
Cropped zipper cartigan,400538,https://www.aloyoga.com/products/w4601r-scholar-knit-cropped-full-zip-jacket-athletic-heather-grey?syclid=711af191-e870-4a71-a4f0-99d0c5939134,Alo,$188,gray,With baggy pants or high-wasted leggings; fitted crop tank underneath,,,,"400544, 400550, 400536, 400537, 400556, 400533","Roomy in shoulders, corsette waist, cropped",,,Low,,"90% Cotton, 9% Nylon, 1% Elastane",get from website ,get from website ,,
Long sleeved shirt,400553,https://www.nordstrom.com/s/daydream-crew-t-shirt/5315950?origin=bag,Vuori,$68,"Spearmint Heather, purple, white","With jeans, leggings, and shorts",Relaxation Long Sleeve Tee,"Loose but fitted and not too long, this super soft long sleeved tee is perfect with jeans, leggings, skirts and shorts.  Pretty much any outfit! Works as a nice overlayer for a slight chill in the air. It has a slight sateen shine which makes it fancier than a typical tee, so you'll want to wear it again and again. ","Just a bit too nice to wear to your workouts and give the loose vibes you want after a long workout, but does not have the boxy, unfitted fit of a cotton tee shirt from the swag bag. You'll know its chill time wearing this - whether at home or during the rest of your non-training life. A go to favorite. ","400537, 400533, 400532, 400544, 400550",Loose but not boxy; not cropped but not long,-,,Medium,,,get from website ,get from website ,,
Sweatshirt Cropped,400554,https://www.nordstrom.com/s/swoop-full-zip-hoodie/8116029?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=050,Zella,$69,Dusty rose,"With jeans, leggings, shorts or joggers over a cropped tank",Cropped sweatshirt,"The perfect fit, cropped sweatshirt removes the bulk but still provides the warmth you need. Ultracozy and ultra versatile it is perfect for all the life inbetween the workouts.","Perfect for removing the chill post workout, and so thick and luxurious you for sure are not working out in it. The cropped look also gives your body some freedom to move without being overwhelmed by the bulk of fabric. Especially a favorite of petite athletes. ",,"Loose, cropped",-,,Low,,"96% cotton, 4% spandex",get from website ,get from website ,,
Bra tank,400555,https://www.berlook.com/products/black-mesh-cross-front-tank-top-light-support?_gl=1*10bf1oj*_up*MQ..&gclid=CjwKCAiAz_DIBhBJEiwAVH2XwHngv4CwrZ03RfuKZzDc0md6StisdgSgiOHAMKbnfc9SWJU7Oiu8zBoCddwQAvD_BwE&gbraid=0AAAAAoKwNFbK-pMfH5USyn0BjAWWGo6kg,berlook,$38,"Navy, blue, black","With not for jogging, sweatpants or high waisted leggings",Cross Drape Bra Tank,"This stylish (and let's be honest, amazing looking) tank is super cropped and yet super classy thanks to the draping crossover pattern and mesh detail. Supportive yet playful, this bra tank is great solo or under an open cardigan. ","This is for the athlete who always wants to be on the go, but is forced to take recovery time by the forces of nature and being human. This bra tank keeps you deeply connected to that workout vibe with its support, structure and high crop, yet is too dreamy to be sweating in. ","400543, 400535, 400536, 400549, 400556, 400538","Tight, supported bra, cropped",,,High,,"Fabric: Nylon 75.0%,Spandex 25.0%
Fabric 2: Nylon 95.0%,Spandex 5.0%
Lining: Nylon 88.0%,Spandex 12.0%",get from website ,get from website ,,
Pleated Skirt,400557,https://www.nordstromrack.com/s/nordstrom-pleated-midi-skirt/7747846,Nordstrom,$65,Sky Blue,"With a cropped tank or bra and loose cardigan if chilly",Pleated Skirt,"Super stylish skirt goes from fancy to just barely toning down your athletic wear when paired with tight tank. Show off the upper body but add some feminine flow to the bottom.","No way you're working out in this skirt, but it's flowy and loose enough to pair a set of cropped leggings underneath if you need the compression. This is for the athlete who wants to feel feminine and put-together while still honoring their athletic build. The loose, flowing fabric signals to your brain that you're off-duty and relaxing.","400556, 400544, 400534, 400550","Loose and flowy, midi length, high-waisted","Calves, glutes",,medium,,100% Polyester,get from website,get from website,Step 3,
